embryo_id,latent_status,coverage,n_chromosomes,threshold_n_abnormal,bayes_n_abnormal,mean_abs_signal,sum_abs_signal,mean_posterior,sum_posterior,data_split
sim_0024,normal,18.194871271138133,22,0,0,0.18711536538705426,4.116538038515193,0.1416209403726442,3.1156606881981723,calibration
sim_0025,abnormal,9.442369526368575,22,1,0,0.23744145791041307,5.223712074029088,0.15353582134603844,3.377788069612846,calibration
sim_0026,normal,17.534942373012246,22,0,0,0.20843014042607388,4.585463089373626,0.17513640022573204,3.8530008049661046,calibration
sim_0027,abnormal,7.5613438237577,22,3,0,0.3484757600330101,7.6664667207262225,0.2026021661882841,4.4572476561422505,calibration
sim_0028,normal,15.115430055977617,22,0,0,0.23053624525760139,5.071797395667231,0.1726267647220357,3.797788823884785,evaluation
sim_0029,normal,7.401840252243542,22,0,0,0.2544623172675031,5.598170979885069,0.13715520609630483,3.017414534118706,evaluation
sim_0030,abnormal,7.375566461723126,22,0,0,0.2638897926795926,5.8055754389510374,0.1450438734310043,3.190965215482095,calibration
sim_0031,ambiguous,11.08995441448267,22,0,0,0.2114464861711101,4.651822695764421,0.1457467270862135,3.2064279958966972,evaluation
sim_0032,normal,9.082884533252942,22,0,0,0.2256061890511069,4.963336159124352,0.14331674251149049,3.152968335252791,calibration
sim_0033,ambiguous,6.775084453667865,22,1,0,0.28523037960015085,6.275068351203318,0.15374030251373733,3.382286655302221,evaluation
sim_0034,normal,6.789965942486477,22,0,0,0.20307234982971803,4.4675916962537965,0.12729395815787037,2.8004670794731483,calibration
sim_0035,abnormal,11.13836103265894,22,2,0,0.29649832195538867,6.52296308301855,0.1934183065639946,4.255202744407882,evaluation
sim_0036,abnormal,6.838677194082952,22,2,0,0.2778716772672309,6.11317689987908,0.1522843623187018,3.3502559710114395,calibration
sim_0037,normal,14.274559449412653,22,0,0,0.20175185687981118,4.438540851355846,0.15462449402158668,3.4017388684749066,evaluation
sim_0038,abnormal,15.728573003750904,22,5,1,0.3610120167126644,7.942264367678618,0.32621045601660453,7.1766300323653,calibration
sim_0039,ambiguous,6.554552756452004,22,0,0,0.22440154027955375,4.936833886150183,0.13487067174787756,2.9671547784533066,calibration
sim_0040,abnormal,5.4199970738126035,22,3,0,0.3142405952399771,6.913293095279497,0.15198987787617033,3.343777313275747,evaluation
sim_0041,abnormal,4.637871115500112,22,1,0,0.28340577379435294,6.234927023475764,0.14584030592477143,3.2084867303449713,calibration
sim_0042,ambiguous,13.139416084118599,22,1,0,0.2506034751908142,5.513276454197913,0.17240094793050906,3.7928208544711994,calibration
sim_0043,abnormal,6.839211345628797,22,0,0,0.29099673901460354,6.401928258321278,0.14324396922126353,3.151367322867798,evaluation
sim_0044,abnormal,14.27100839531603,22,1,0,0.24017506049218515,5.283851330828073,0.1732348471703636,3.8111666377479994,evaluation
sim_0045,normal,9.290039263298354,22,2,0,0.3251782215212119,7.153920873466662,0.18690541797563706,4.111919195464015,calibration
sim_0046,normal,6.259196103668094,22,3,0,0.2518727422270101,5.541200328994222,0.14699331886965206,3.233853015132345,evaluation
sim_0047,ambiguous,7.359089421667891,22,1,0,0.19194002950266462,4.2226806490586215,0.1310639171277179,2.883406176809794,calibration
sim_0048,normal,10.166475625654726,22,1,0,0.2505902556446641,5.51298562418261,0.1615026423218132,3.55305813107989,evaluation
sim_0049,abnormal,20.257364841399355,22,1,1,0.3097356208922954,6.814183659630499,0.262155196738543,5.767414328247946,calibration
sim_0050,normal,11.393348764056999,22,1,0,0.25331429862774363,5.57291456981036,0.1601107524844012,3.522436554656827,evaluation
sim_0051,ambiguous,5.7015809720500075,22,0,0,0.28692276065566175,6.312300734424558,0.1409861766613104,3.101695886548829,evaluation
sim_0052,abnormal,8.387233482095807,22,3,0,0.26339923853826896,5.794783247841917,0.17050691554740038,3.7511521420428084,evaluation
sim_0053,ambiguous,6.580001439107162,22,1,0,0.25544184249475876,5.619720534884693,0.14202845300644412,3.1246259661417706,calibration
sim_0054,ambiguous,6.873761119803895,22,1,0,0.2556155551534882,5.623542213376741,0.13588721550049412,2.989518741010871,calibration
sim_0055,abnormal,12.984423348547383,22,2,0,0.2655929516462533,5.843044936217573,0.21043193751469025,4.629502625323186,calibration
sim_0056,ambiguous,8.582067391989623,22,0,0,0.23405999913268133,5.149319980918989,0.13718938244490186,3.018166413787841,calibration
sim_0057,ambiguous,14.580188895054912,22,1,0,0.22547209127930487,4.960386008144707,0.17565861620467393,3.8644895565028263,calibration
