embryo_id,latent_status,coverage,n_chromosomes,threshold_n_abnormal,bayes_n_abnormal,mean_abs_signal,sum_abs_signal,mean_posterior,sum_posterior,data_split,evaluation_label,classifier,rule_name,embryo_call
sim_0223,normal,8.61397024335661,22,1,0,0.27054185318635765,5.951920770099869,0.15446049309118226,3.3981308480060095,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0224,ambiguous,10.973904233982978,22,1,0,0.23759534128033813,5.227097508167439,0.15689379653344973,3.451663523735894,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0226,ambiguous,10.926590847707926,22,1,0,0.17183380665897174,3.7803437464973784,0.1340450366537062,2.9489908063815364,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0227,ambiguous,12.530943663699954,22,2,0,0.21934030232857568,4.825486651228665,0.16476670293363288,3.6248674645399235,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0228,normal,6.129242785401696,22,0,0,0.23755928845059868,5.226304345913171,0.13282296878811373,2.922105313338502,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0229,normal,8.172273489031854,22,4,0,0.298146765962841,6.559228851182501,0.1883264064328251,4.143180941522153,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0230,normal,9.686359477537852,22,2,0,0.2553949951496824,5.618689893293012,0.17566814513001155,3.8646991928602543,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0232,normal,9.94743644721389,22,0,0,0.17319874952186465,3.8103724894810225,0.12847731319008285,2.8265008901818227,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0235,ambiguous,6.8342357911952005,22,1,0,0.2337763293513378,5.143079245729432,0.13825409349281995,3.041590056842039,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0238,normal,7.278555165887509,22,0,0,0.22635490875166475,4.9798079925366245,0.1329171024711955,2.9241762543663015,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0239,normal,11.065253054992311,22,1,0,0.21043360189423027,4.629539241673066,0.14707712209973994,3.2356966861942786,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0241,ambiguous,7.736145726801708,22,2,0,0.3626433509925949,7.978153721837089,0.20091333880505613,4.420093453711235,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0244,ambiguous,9.445652871357948,22,3,0,0.2381572367752993,5.239459209056585,0.15742794802152096,3.4634148564734613,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0245,abnormal,10.839229470311317,22,1,0,0.25651726206253267,5.64337976537572,0.1821448366381689,4.007186406039716,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0246,abnormal,17.539084795251217,22,0,0,0.2077066993817525,4.569547386398556,0.16356358044553904,3.598398769801859,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0247,ambiguous,7.933106867272198,22,0,0,0.2172652692118134,4.779835922659895,0.1280940050415808,2.8180681109147776,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0250,normal,22.622309234561087,22,1,1,0.21672768555542518,4.768009082219354,0.19977447070373575,4.395038355482186,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0252,abnormal,13.704401653017454,22,1,0,0.24565371921781645,5.404381822791962,0.1699016728757685,3.7378368032669065,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
sim_0253,normal,15.93040864008874,22,0,0,0.17253407635423562,3.7957496797931833,0.12658549181209577,2.7848808198661072,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,normal
sim_0255,abnormal,14.5029178360695,22,3,0,0.3071587152037891,6.757491734483361,0.2631093771462276,5.788406297217007,evaluation,out-of-sample evaluation,threshold,ge_1_abnormal_chromosome,abnormal
