embryo_id,latent_status,n_affected,classifier,rule_name,embryo_call,truth_binary
sim_0467,abnormal,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0468,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0469,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0470,abnormal,6,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0471,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0472,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0473,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0474,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,normal
sim_0475,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0476,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0477,abnormal,3,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0478,normal,0,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,normal
sim_0479,ambiguous,2,comparable_idealized_threshold,ge_1_abnormal_chromosome,normal,abnormal
sim_0480,ambiguous,1,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0481,abnormal,5,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
sim_0482,abnormal,4,comparable_idealized_threshold,ge_1_abnormal_chromosome,abnormal,abnormal
